# 6201, 1589651660
#  dongle_time, rssi, mac, adv_packet                                                              
     855994, -61, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040960200000000000000000000000019C0
     858307, -71, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040970200000000000000000000000019C0
     858415, -70, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040970200000000000000000000000019C0
     858438, -69, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040150100000000000000000000000019C0
     858516, -68, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040970200000000000000000000000019C0
     860847, -70, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040970200000000000000000000000019C0
     860871, -75, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040160100000000000000000000000019C0
     860949, -70, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040970200000000000000000000000019C0
     860980, -74, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040160100000000000000000000000019C0
     861049, -70, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040970200000000000000000000000019C0
     863416, -67, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040160100000000000000000000000019C0
     863449, -60, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040970200000000000000000000000019C0
     863520, -68, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040160100000000000000000000000019C0
     863553, -60, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040970200000000000000000000000019C0
     863657, -62, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040970200000000000000000000000019C0
     868559, -71, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040160100000000000000000000000019C0
     868607, -71, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040980200000000000000000000000019C0
     868659, -68, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040160100000000000000000000000019C0
     868709, -71, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040980200000000000000000000000019C0
     868816, -71, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040980200000000000000000000000019C0
     871074, -66, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040170100000000000000000000000019C0
     871137, -70, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040980200000000000000000000000019C0
     871174, -66, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040170100000000000000000000000019C0
     871242, -70, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040980200000000000000000000000019C0
     871346, -70, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040980200000000000000000000000019C0
     873674, -59, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040980200000000000000000000000019C0
     873711, -67, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040170100000000000000000000000019C0
     873781, -59, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040980200000000000000000000000019C0
     873815, -67, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040170100000000000000000000000019C0
     873890, -59, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040980200000000000000000000000019C0
     876196, -71, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040980200000000000000000000000019C0
     876239, -79, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040170100000000000000000000000019C0
